f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,label
0.0,0.0,0.0,-0.0464438796043396,-0.029743194580078125,-0.011091976411421456,-0.07909715175628662,-0.09055733680725098,-0.016899666733820595,-0.09782946109771729,-0.14189481735229492,-0.0233198525232865,-0.11218786239624023,-0.17417645454406738,-0.02631025852986113,-0.04824918508529663,-0.17359673976898193,-0.0010118495987399,-0.059368133544921875,-0.2259417176246643,-0.02758906687029139,-0.06106603145599365,-0.1784563958644867,-0.040841358698685326,-0.05959761142730713,-0.14007824659347534,-0.044348414040882744,-0.014575958251953125,-0.17032653093338013,-0.00467496643193499,-0.022021353244781494,-0.22630715370178223,-0.030767261035521187,-0.02944481372833252,-0.1573621928691864,-0.03405789936311976,-0.025611162185668945,-0.1240624189376831,-0.02835619541235701,0.02055227756500244,-0.15636256337165833,-0.0125622227636768,0.018787920475006104,-0.20613470673561096,-0.038357156313736596,0.0029622912406921387,-0.14081823825836182,-0.028331947497804322,0.003506302833557129,-0.10962718725204468,-0.013958509064991631,0.05831778049468994,-0.13176029920578003,-0.02142795639463202,0.05396026372909546,-0.17243540287017822,-0.039000767268021264,0.03600281476974487,-0.13047534227371216,-0.030295013434965767,0.032923758029937744,-0.10573786497116089,-0.018198871038634934,0.0,0.0,0.0,0.05029499530792236,-0.017086327075958252,-0.01759765895220511,0.10153350234031677,-0.0654137134552002,-0.026383361240355896,0.13663631677627563,-0.10010051727294922,-0.034270534684388565,0.1604270339012146,-0.1266055703163147,-0.03895155565950148,0.07074376940727234,-0.1362002193927765,-0.02545283028992884,0.07257401943206787,-0.19587862491607666,-0.0545786939761328,0.07478538155555725,-0.14293667674064636,-0.06677757429095976,0.07515072822570801,-0.1029312014579773,-0.06996581183883421,0.037443071603775024,-0.1370404064655304,-0.028814662640421318,0.04075387120246887,-0.18998661637306213,-0.060742495974032806,0.046083301305770874,-0.12441840767860413,-0.06811005102607481,0.04488226771354675,-0.08805149793624878,-0.06742541717502348,0.003191649913787842,-0.12476721405982971,-0.03536310644957297,0.008560150861740112,-0.17427513003349304,-0.0656468816301512,0.01744779944419861,-0.11401957273483276,-0.06217720585080855,0.017499417066574097,-0.08059000968933105,-0.05336740838500731,-0.030790269374847412,-0.10534036159515381,-0.043030580898253845,-0.021668672561645508,-0.13930287957191467,-0.0641159288785147,-0.008737623691558838,-0.10307556390762329,-0.061939923485248016,-0.005610600113868713,-0.07777076959609985,-0.05569678770515196,A
0.0,0.0,0.0,-0.04654055833816528,-0.02784019708633423,-0.01197137174850127,-0.08087652921676636,-0.08892631530761719,-0.018510913976484744,-0.09964895248413086,-0.1394413709640503,-0.02570791220014712,-0.11462056636810303,-0.17230823636054993,-0.02949524162059447,-0.050007522106170654,-0.17317289113998413,-0.000860253325214444,-0.06262993812561035,-0.2247084379196167,-0.027874257915669887,-0.06277930736541748,-0.1764679253101349,-0.042197300621324985,-0.060029685497283936,-0.13867133855819702,-0.046621112653070895,-0.01562434434890747,-0.17112582921981812,-0.004813489072972743,-0.024502277374267578,-0.22583261132240295,-0.03077325274890086,-0.029947400093078613,-0.1571384072303772,-0.03499095378165862,-0.024847209453582764,-0.12481063604354858,-0.030194709577614276,0.0200994610786438,-0.15817749500274658,-0.013155663886124103,0.01648104190826416,-0.2074354887008667,-0.038946355261856525,0.0023199915885925293,-0.14225280284881592,-0.0295902309352698,0.0037316083908081055,-0.1123858094215393,-0.015916599460894076,0.058175623416900635,-0.13444966077804565,-0.022624437266046016,0.0523647665977478,-0.17451420426368713,-0.04018677634840628,0.03528934717178345,-0.1318771243095398,-0.03152327475791594,0.03270363807678223,-0.10723096132278442,-0.019558737554604022,0.0,0.0,0.0,0.0486467182636261,-0.01296985149383545,-0.0164170362953584,0.10033991932868958,-0.059209346771240234,-0.024523661002938013,0.13604822754859924,-0.09239423274993896,-0.031905450389210444,0.15985998511314392,-0.11901348829269409,-0.036996823266569834,0.07353761792182922,-0.1265404224395752,-0.02405170956296132,0.07279306650161743,-0.18675217032432556,-0.05208492325288461,0.07374826073646545,-0.1405939757823944,-0.06548086227518723,0.07587745785713196,-0.10297155380249023,-0.070153031960551,0.04050925374031067,-0.12893563508987427,-0.02751540811402009,0.041327208280563354,-0.18121877312660217,-0.05629704566342042,0.04439327120780945,-0.12162840366363525,-0.06307080806833909,0.04301637411117554,-0.08647441864013672,-0.06317197950226472,0.005512654781341553,-0.11888837814331055,-0.03402615757328675,0.00931963324546814,-0.16590964794158936,-0.06176752270800279,0.015621751546859741,-0.10985022783279419,-0.057578362986866694,0.01530107855796814,-0.07547950744628906,-0.049168710127894144,-0.02896888554096222,-0.10053253173828125,-0.04162780241710351,-0.020408302545547485,-0.13458552956581116,-0.060881887093607645,-0.00998888909816742,-0.10031986236572266,-0.05761078046304391,-0.007852539420127869,-0.07464563846588135,-0.0512047824416797,A
0.0,0.0,0.0,-0.046154558658599854,-0.030874967575073242,-0.011580398306193729,-0.07701313495635986,-0.09144890308380127,-0.01744345575565376,-0.09433841705322266,-0.1440962553024292,-0.023808876052441974,-0.10576015710830688,-0.17910343408584595,-0.026237556710782428,-0.04770606756210327,-0.17242935299873352,-0.00010286116588531513,-0.06117159128189087,-0.2238490879535675,-0.027576344087663074,-0.06262826919555664,-0.1742643117904663,-0.04102172143751659,-0.05930149555206299,-0.13868987560272217,-0.044525029137673755,-0.015020549297332764,-0.17056512832641602,-0.0034995754248825506,-0.024355173110961914,-0.22720038890838623,-0.02998699806624927,-0.031335532665252686,-0.15782153606414795,-0.03252381645137348,-0.02589571475982666,-0.1285133957862854,-0.026106867939176936,0.01952230930328369,-0.15779709815979004,-0.011379179544690032,0.016223669052124023,-0.2034463882446289,-0.037137007340732,0.0013063549995422363,-0.13798385858535767,-0.025983812287392993,0.004463791847229004,-0.11104023456573486,-0.010638467036130805,0.05740964412689209,-0.1341220736503601,-0.020400231704059024,0.052075207233428955,-0.1739194691181183,-0.03644044883543529,0.03474229574203491,-0.13188499212265015,-0.02634993568057098,0.033438146114349365,-0.10962092876434326,-0.01329000852996387,0.0,0.0,0.0,0.04975062608718872,-0.016989707946777344,-0.016422808625776497,0.09908869862556458,-0.06174600124359131,-0.025061194309074608,0.13325157761573792,-0.09577006101608276,-0.03315432974048349,0.15489283204078674,-0.12280845642089844,-0.03887240820475313,0.07355818152427673,-0.1269194781780243,-0.02277474895961973,0.07505369186401367,-0.19201675057411194,-0.05046313115306589,0.07523071765899658,-0.1474323272705078,-0.06402104207225534,0.0772348940372467,-0.110165536403656,-0.0688911140794346,0.04043388366699219,-0.13026940822601318,-0.025822196611244408,0.041623592376708984,-0.1869223713874817,-0.053132893973071305,0.04423406720161438,-0.13000130653381348,-0.059277317010838715,0.043664783239364624,-0.09619319438934326,-0.059307301872451035,0.005934715270996094,-0.12090295553207397,-0.03204309799619409,0.008513867855072021,-0.17307224869728088,-0.05802466207094881,0.014499813318252563,-0.12166959047317505,-0.05338723444290849,0.014601677656173706,-0.08849823474884033,-0.045143394255120484,-0.0276067852973938,-0.10336828231811523,-0.03953904890366289,-0.02135549485683441,-0.14280754327774048,-0.05781418316908571,-0.011156350374221802,-0.11130940914154053,-0.05452832811423036,-0.008916765451431274,-0.08545053005218506,-0.04824929171152803,A
0.0,0.0,0.0,-0.045552849769592285,-0.02888941764831543,-0.01278989009128395,-0.07567626237869263,-0.0924566388130188,-0.018196328464313183,-0.08921360969543457,-0.14510002732276917,-0.023774313661618862,-0.09866559505462646,-0.1794586181640625,-0.02547441321925703,-0.04677087068557739,-0.17091357707977295,-0.0013880986165020204,-0.05796104669570923,-0.2208625078201294,-0.02834594521240774,-0.05838543176651001,-0.17182272672653198,-0.04206810045556608,-0.05593615770339966,-0.1347866654396057,-0.045840914282365475,-0.013664782047271729,-0.16804158687591553,-0.004434277690364752,-0.020247042179107666,-0.22316193580627441,-0.030308500784798298,-0.026285290718078613,-0.15518337488174438,-0.033487274232669506,-0.02237457036972046,-0.1231684684753418,-0.027648511263890896,0.02102559804916382,-0.15452396869659424,-0.01194456677453104,0.020235657691955566,-0.2031921148300171,-0.037358960989280376,0.005140841007232666,-0.13868838548660278,-0.027024266231222782,0.005259454250335693,-0.10823065042495728,-0.012328503574593697,0.05877476930618286,-0.13095879554748535,-0.020710120830102596,0.05524444580078125,-0.17049556970596313,-0.03757144409732405,0.037983477115631104,-0.13017892837524414,-0.02853648636059347,0.034562885761260986,-0.10654687881469727,-0.016190444040461216,0.0,0.0,0.0,0.05291256308555603,-0.019820690155029297,-0.02171403491121282,0.10328295826911926,-0.06476908922195435,-0.03257003002983083,0.1372113823890686,-0.09841769933700562,-0.042037497695503134,0.15999138355255127,-0.12382858991622925,-0.04890105449777593,0.07569178938865662,-0.137334942817688,-0.027136386793074507,0.07741132378578186,-0.1909002959728241,-0.05540736341100683,0.07712861895561218,-0.14500263333320618,-0.06930811279636373,0.0785207450389862,-0.10777580738067627,-0.07466334426027288,0.04153257608413696,-0.14162197709083557,-0.028701867397842307,0.04437264800071716,-0.18951377272605896,-0.05865567871552457,0.04830431938171387,-0.13144472241401672,-0.06751991384845724,0.047606855630874634,-0.0943722128868103,-0.06893680566173543,0.006762444972991943,-0.13013234734535217,-0.03375228070837011,0.010178059339523315,-0.17895764112472534,-0.06363631361347188,0.017805099487304688,-0.1255456507205963,-0.0623867469392394,0.017934978008270264,-0.09097480773925781,-0.05535387941819181,-0.026913389563560486,-0.11029815673828125,-0.040220170702752966,-0.01962268352508545,-0.1466500163078308,-0.061572983350572486,-0.00784367322921753,-0.11692416667938232,-0.060732464726982016,-0.004693552851676941,-0.09244108200073242,-0.055677953597125907,A
0.0,0.0,0.0,-0.048596978187561035,-0.0386052131652832,-0.011466118585019558,-0.08165764808654785,-0.10111403465270996,-0.018974870521276443,-0.09730195999145508,-0.1560213565826416,-0.027517223808615654,-0.10800570249557495,-0.1938043236732483,-0.03244729161605164,-0.048889338970184326,-0.1786309778690338,-0.0020646896061293774,-0.06296718120574951,-0.23256993293762207,-0.028155744153707474,-0.06331688165664673,-0.1805998682975769,-0.04133336812600419,-0.06017422676086426,-0.14351052045822144,-0.045326942655890434,-0.01593571901321411,-0.17672428488731384,-0.00646149654284045,-0.026602327823638916,-0.23353123664855957,-0.032113386396019905,-0.03304946422576904,-0.16397005319595337,-0.036168398413508385,-0.029803037643432617,-0.13197457790374756,-0.03172722280368134,0.018792569637298584,-0.1643422245979309,-0.014875142913012951,0.013059914112091064,-0.2119290828704834,-0.03895522103056237,-0.0005453824996948242,-0.14604395627975464,-0.029486985955088585,0.0001984238624572754,-0.11554229259490967,-0.016265491101592033,0.055992722511291504,-0.14064157009124756,-0.024528041559904068,0.048955678939819336,-0.18287348747253418,-0.03958443373784348,0.03126245737075806,-0.13938552141189575,-0.030198359939902275,0.027339458465576172,-0.11402362585067749,-0.018214352506845444,0.0,0.0,0.0,0.05103409290313721,-0.015219271183013916,-0.014418609817774097,0.10098263621330261,-0.06481325626373291,-0.020180644844920437,0.1351451277732849,-0.10167121887207031,-0.02567251436904172,0.15817657113075256,-0.1321071982383728,-0.028856674586684505,0.07694533467292786,-0.13009682297706604,-0.01884711385265092,0.07576718926429749,-0.19541937112808228,-0.04426228292778234,0.07469281554222107,-0.15102261304855347,-0.05686106943085889,0.0779041051864624,-0.11450052261352539,-0.0617227930624793,0.04428860545158386,-0.13235783576965332,-0.022439755876810352,0.04374578595161438,-0.18781054019927979,-0.04820418023064832,0.04477056860923767,-0.13203102350234985,-0.05426777564481,0.04434111714363098,-0.09921276569366455,-0.05467123948529462,0.009316325187683105,-0.12280309200286865,-0.02908147909239034,0.011897832155227661,-0.1761399507522583,-0.054666310926229755,0.016290754079818726,-0.12542080879211426,-0.0505785349805663,0.015736281871795654,-0.09340542554855347,-0.042819388588220875,-0.02618323266506195,-0.1067357063293457,-0.03678619154289464,-0.01931285858154297,-0.145638108253479,-0.05590114407733182,-0.010707706212997437,-0.11370474100112915,-0.05351191796854238,-0.00911441445350647,-0.08774572610855103,-0.04775755890205602,A
0.0,0.0,0.0,-0.0470426082611084,-0.03604680299758911,-0.013298521804671282,-0.07919222116470337,-0.09906715154647827,-0.020537465865771765,-0.09538429975509644,-0.15392747521400452,-0.02803639700547933,-0.10517841577529907,-0.19160154461860657,-0.03126040851608991,-0.048079729080200195,-0.17802509665489197,-0.0026443717619883955,-0.06240564584732056,-0.2288750410079956,-0.03063925547436952,-0.06160670518875122,-0.17571184039115906,-0.044706005658071035,-0.05810248851776123,-0.1384587287902832,-0.0487273894800353,-0.015119850635528564,-0.17596480250358582,-0.005502699463676208,-0.02585524320602417,-0.23010042309761047,-0.03311251481906652,-0.030671119689941406,-0.15900632739067078,-0.037296801860492224,-0.026173114776611328,-0.12751656770706177,-0.03231309359804868,0.019579410552978516,-0.16464859247207642,-0.012777466381947988,0.013284802436828613,-0.2099834680557251,-0.0390579142226386,0.0006715059280395508,-0.1432274580001831,-0.029171718339483732,0.003085494041442871,-0.11346584558486938,-0.014816937091808313,0.056744277477264404,-0.14284002780914307,-0.021384466494481558,0.04877287149429321,-0.1833488941192627,-0.03775198390619039,0.03223460912704468,-0.13883912563323975,-0.02825026592151403,0.030238747596740723,-0.11394363641738892,-0.015584893579642767,0.0,0.0,0.0,0.04934951663017273,-0.017080366611480713,-0.02075980140054412,0.10151684284210205,-0.06525850296020508,-0.030912424457909538,0.1364467442035675,-0.0988512635231018,-0.039755067808272315,0.16131174564361572,-0.1275865137577057,-0.045335642082335426,0.06983587145805359,-0.13869208097457886,-0.027085472849847747,0.07517382502555847,-0.19153204560279846,-0.05804005546653457,0.0745151937007904,-0.1393604874610901,-0.07184466255986877,0.07334238290786743,-0.10085409879684448,-0.07562699450338073,0.0359959602355957,-0.140799880027771,-0.028974904698969794,0.0425107479095459,-0.18814435601234436,-0.06145683212363906,0.04583743214607239,-0.12461790442466736,-0.06865192486131377,0.0450705885887146,-0.08755558729171753,-0.06767571998918243,0.0017069429159164429,-0.12908503413200378,-0.03472717015230842,0.009320467710494995,-0.17469710111618042,-0.06613103581750579,0.017585694789886475,-0.11689397692680359,-0.06299877448165603,0.018765568733215332,-0.08263647556304932,-0.053843217922093345,-0.031310081481933594,-0.10980993509292603,-0.041815585476996375,-0.02197134494781494,-0.14149457216262817,-0.06341535879457183,-0.009220898151397705,-0.10678791999816895,-0.06155680773937888,-0.005668357014656067,-0.08035880327224731,-0.055258600992800666,A
0.0,0.0,0.0,-0.048800885677337646,-0.02903306484222412,-0.012766774922340574,-0.08157175779342651,-0.08749258518218994,-0.02089152875515765,-0.10226571559906006,-0.13596397638320923,-0.02991655114266223,-0.12207671999931335,-0.16971808671951294,-0.03545613604757136,-0.05399364233016968,-0.16996583342552185,-0.001756384448810877,-0.0659024715423584,-0.2239355444908142,-0.02893838490518874,-0.06314295530319214,-0.17300155758857727,-0.04308266210529155,-0.058584630489349365,-0.13458985090255737,-0.047339484274118604,-0.01958709955215454,-0.16990700364112854,-0.005916305530547561,-0.027829468250274658,-0.22589904069900513,-0.03242917004200763,-0.03008216619491577,-0.15624094009399414,-0.03767129051658458,-0.02475517988204956,-0.12386870384216309,-0.03352363425466365,0.016533255577087402,-0.15845564007759094,-0.014324359774320783,0.011422514915466309,-0.2064293622970581,-0.03975135478350467,0.0012688040733337402,-0.14069318771362305,-0.030237717732518377,0.003000795841217041,-0.11146408319473267,-0.016514035120337667,0.05462104082107544,-0.13690221309661865,-0.023980122238128843,0.04747658967971802,-0.17866194248199463,-0.03978011774989909,0.03172338008880615,-0.13388919830322266,-0.029622383594244184,0.02858525514602661,-0.10862666368484497,-0.01689067500802821,0.0,0.0,0.0,0.048036351799964905,-0.01886749267578125,-0.021257454073591475,0.09792350232601166,-0.07094615697860718,-0.03143287031964803,0.13272564113140106,-0.10720878839492798,-0.04025729327516103,0.1595877856016159,-0.1375924050807953,-0.04555152311043287,0.06435476243495941,-0.1476089358329773,-0.02578033833817983,0.07259504497051239,-0.19905301928520203,-0.05543661817030454,0.07334701716899872,-0.144270122051239,-0.0682008150132134,0.0704084187746048,-0.10429823398590088,-0.07118252991752172,0.030689284205436707,-0.1484527289867401,-0.02682714491204763,0.038303300738334656,-0.1960780918598175,-0.05829152046756292,0.043201640248298645,-0.13050517439842224,-0.06551847933845067,0.04172547161579132,-0.0934935212135315,-0.06461318909244085,-0.0034852921962738037,-0.13659334182739258,-0.03173923074321294,0.005430057644844055,-0.1833254098892212,-0.06163831009583021,0.01539553701877594,-0.1237836480140686,-0.05852597161249662,0.016108527779579163,-0.09032821655273438,-0.049753319016261344,-0.03632506728172302,-0.11732882261276245,-0.03814967676119352,-0.025994151830673218,-0.14949548244476318,-0.05835803180055166,-0.011973872780799866,-0.11397770047187805,-0.0563110704632237,-0.008610904216766357,-0.08825939893722534,-0.05023233919457937,A
0.0,0.0,0.0,-0.04873967170715332,-0.03100353479385376,-0.011629317980606402,-0.0805254578590393,-0.09000283479690552,-0.019228341151375616,-0.10115885734558105,-0.13864290714263916,-0.028192328382630194,-0.12102633714675903,-0.17193186283111572,-0.0336411614905785,-0.05254393815994263,-0.1731967031955719,0.0009748880631548218,-0.0661156177520752,-0.22616234421730042,-0.025756416935820425,-0.06304556131362915,-0.1752350926399231,-0.04006173657288059,-0.05771481990814209,-0.1378645896911621,-0.044583631772894705,-0.01867353916168213,-0.17316707968711853,-0.0036528984553854116,-0.028096497058868408,-0.22831156849861145,-0.029459986929197157,-0.030125677585601807,-0.15763020515441895,-0.03418060587753757,-0.02410602569580078,-0.12628167867660522,-0.029768213723201598,0.016824066638946533,-0.16125217080116272,-0.012608571071524466,0.010824143886566162,-0.20837542414665222,-0.03681929977645382,0.00048601627349853516,-0.14233577251434326,-0.026685942057866896,0.003058016300201416,-0.11380279064178467,-0.012752642948527182,0.05444967746734619,-0.13830602169036865,-0.022888174374003256,0.04706162214279175,-0.17946770787239075,-0.03705006288399204,0.03190743923187256,-0.1366979479789734,-0.02652023928274616,0.03031843900680542,-0.11272257566452026,-0.013789231982428873,0.0,0.0,0.0,0.045226216316223145,-0.018154501914978027,-0.019652445040122757,0.09306600689888,-0.0689857006072998,-0.029797312043086777,0.12683650851249695,-0.1052594780921936,-0.03843336569465805,0.15152359008789062,-0.1358565092086792,-0.04352551715768982,0.057671189308166504,-0.1508857011795044,-0.025769770316259155,0.06951799988746643,-0.1974174976348877,-0.05302418412961174,0.07082822918891907,-0.14167818427085876,-0.06425374018348862,0.062043696641922,-0.10188716650009155,-0.06642758863367249,0.02491861581802368,-0.151991069316864,-0.027365131474510918,0.03500068187713623,-0.196595698595047,-0.055825781247989426,0.0406494140625,-0.1274375319480896,-0.06146793084539581,0.036531269550323486,-0.09060078859329224,-0.06005629914201904,-0.008201956748962402,-0.1395585834980011,-0.03222223388351608,0.0006834566593170166,-0.18095889687538147,-0.059704594484941254,0.011817842721939087,-0.1188039779663086,-0.054724436424152145,0.010912954807281494,-0.08751046657562256,-0.045573208651916275,-0.04162633419036865,-0.12020289897918701,-0.03837434219516922,-0.03236684203147888,-0.14890748262405396,-0.0572635570386808,-0.018459081649780273,-0.11112433671951294,-0.05314523743786026,-0.016899555921554565,-0.08685261011123657,-0.04607826115883995,A
0.0,0.0,0.0,-0.047808945178985596,-0.029451429843902588,-0.012409602891665372,-0.07966703176498413,-0.08978021144866943,-0.019605734985333356,-0.09945899248123169,-0.13940823078155518,-0.02791963111982909,-0.11987566947937012,-0.17237672209739685,-0.03285354715214339,-0.05228149890899658,-0.1715172529220581,0.00019981211201525184,-0.06428682804107666,-0.22600942850112915,-0.02492023971305457,-0.06146526336669922,-0.17540720105171204,-0.03797411140428153,-0.056860923767089844,-0.137179434299469,-0.0417709570787963,-0.018316030502319336,-0.17193645238876343,-0.0037835714351501792,-0.026368677616119385,-0.22753643989562988,-0.028183091100316915,-0.02842700481414795,-0.1596982479095459,-0.03296303343401519,-0.023468196392059326,-0.12688231468200684,-0.02872578394041625,0.017428159713745117,-0.1608404517173767,-0.011999604891997251,0.011790931224822998,-0.20734846591949463,-0.0355557945035514,0.0020209550857543945,-0.14351993799209595,-0.02703547444568244,0.0034256577491760254,-0.11386889219284058,-0.01413467307017413,0.05455595254898071,-0.13936692476272583,-0.021511779766541395,0.04766720533370972,-0.1810082197189331,-0.03586415913329688,0.03213536739349365,-0.13814306259155273,-0.026490423496824178,0.028596162796020508,-0.11237257719039917,-0.014555363584321412,0.0,0.0,0.0,0.04487612843513489,-0.019108176231384277,-0.018802046094990033,0.0922137200832367,-0.06910258531570435,-0.028543885116434353,0.12554994225502014,-0.10122466087341309,-0.03728264315888907,0.15001323819160461,-0.12809783220291138,-0.04296173646018531,0.056877464056015015,-0.14941197633743286,-0.02345333925352122,0.06831952929496765,-0.1947026252746582,-0.05234407379195716,0.06919151544570923,-0.1411295235157013,-0.0660587188498738,0.06198051571846008,-0.1010637879371643,-0.06960351883337523,0.024267256259918213,-0.1514488160610199,-0.025462546636319416,0.03533935546875,-0.19259527325630188,-0.05533051981494452,0.04012984037399292,-0.12768927216529846,-0.0629052308099034,0.03641030192375183,-0.0900687575340271,-0.06253959356710936,-0.008672669529914856,-0.13967248797416687,-0.030989355658149975,0.0020382702350616455,-0.17962294816970825,-0.059750602831101673,0.011988580226898193,-0.12120211124420166,-0.05671703561112906,0.011406004428863525,-0.08876234292984009,-0.04831535487339522,-0.041587814688682556,-0.12027278542518616,-0.037755494256472844,-0.030682295560836792,-0.14877724647521973,-0.057135966856932896,-0.01660899817943573,-0.11287996172904968,-0.054021314968323964,-0.013901621103286743,-0.08677828311920166,-0.04743802665636565,A
0.0,0.0,0.0,-0.04312640428543091,-0.021007776260375977,-0.00979186937911436,-0.07408565282821655,-0.08479112386703491,-0.013487937569152564,-0.09627839922904968,-0.130462646484375,-0.019171685620676726,-0.12143579125404358,-0.15499204397201538,-0.021869224205147475,-0.0483437180519104,-0.15103140473365784,0.004673705261666328,-0.059538841247558594,-0.2022242546081543,-0.01903669227613136,-0.056939542293548584,-0.15569281578063965,-0.03149754059268162,-0.052625179290771484,-0.11878222227096558,-0.03478674468351528,-0.016848623752593994,-0.151373952627182,0.00023432775924447924,-0.02416551113128662,-0.2031729519367218,-0.023096228658687323,-0.027725160121917725,-0.14173680543899536,-0.027343277528416365,-0.024116992950439453,-0.11132562160491943,-0.022397123917471617,0.01635199785232544,-0.14007973670959473,-0.008388360671233386,0.013559520244598389,-0.18695518374443054,-0.030480443208944052,0.002221822738647461,-0.128261536359787,-0.021718769043218344,0.0013006925582885742,-0.10038572549819946,-0.008147188171278685,0.05054134130477905,-0.12075409293174744,-0.018052012368571013,0.04779714345932007,-0.16041535139083862,-0.02873968397034332,0.03175079822540283,-0.1254279911518097,-0.01851743896258995,0.02608722448348999,-0.10272639989852905,-0.006432647991459817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
